dpl,nperi,ci,pow,latency,nce,noise,category
27,2,50,174.3811225,93,2,0,3
27,2,55,194.7492908,115,2,0,2
27,2,60,207.2757261,125,2,0,3
27,2,70,128.7606985,279,4,0,4
27,2,90,175.3436386,184,2,0,2
27,2,100,158.3293617,227,3,0,2
27,2,125,172.7653365,241,2,0,3
27,2,150,126.3073177,315,3,0,4
27,2,200,131.9138942,331,2,0,4
27,2,250,125.7203205,489,2,0,4
27,2,270,122.1705664,744,3,0,4
27,2,300,136.0103112,595,2,0,4
64,2,10,333.6497638,37,4,0,1
64,2,15,410.324896,34,2,0,1
64,2,20,317.4517963,50,3,0,2
64,2,30,278.0369219,62,2,0,4
64,2,35,204.2248248,140,4,0,3
64,2,40,175.4007839,111,3,0,3
64,2,45,169.4264045,93,2,0,2
64,2,50,159.4026865,142,3,0,3
64,2,55,166.5315112,155,3,0,2
64,2,60,116.1040647,118,2,0,3
64,2,70,130.7803533,142,2,0,4
64,2,90,124.8958474,179,2,0,2
64,2,100,119.6533439,200,2,0,2
64,2,125,149.2031738,241,2,0,3
64,2,150,106.7794079,288,2,0,4
64,2,200,74.79781338,383,2,0,4
64,2,250,92.86314096,492,2,0,4
64,2,270,85.59289143,589,3,0,4
64,2,300,89.84120236,580,2,0,4
128,2,10,313.0390025,58,6,0,1
128,2,15,393.7817394,33,2,0,1
128,2,20,298.1894655,42,2,0,2
128,2,30,238.4640349,57,2,0,4
128,2,35,235.7782774,192,6,0,3
128,2,40,191.1409425,73,2,0,3
128,2,45,156.6086557,137,3,0,2
128,2,50,165.740293,91,2,0,3
128,2,55,157.7953557,112,2,0,2
128,2,60,134.0330859,160,3,0,3
128,2,70,138.9926991,274,4,0,4
128,2,90,102.6254031,257,3,0,2
128,2,100,114.0158067,198,2,0,2
128,2,125,93.46537266,295,3,0,3
128,2,150,97.90500508,293,2,0,4
128,2,200,83.11551349,511,3,0,4
128,2,250,78.60913784,483,2,0,4
128,2,270,76.88468226,726,3,0,4
128,2,300,71.46161976,591,2,0,4
251,2,10,307.0275678,42,4,0,1
251,2,15,393.7196703,37,3,0,1
251,2,20,305.6644007,44,2,0,2
251,2,25,238.4581188,109,5,0,3
251,2,30,286.9192309,56,2,0,4
251,2,35,186.6442316,155,5,0,3
251,2,40,168.5984304,81,2,0,3
251,2,45,166.5286262,92,2,0,2
251,2,50,152.4611764,121,3,0,3
251,2,55,172.0866055,112,2,0,2
251,2,60,152.3340078,119,2,0,3
251,2,70,135.6827421,277,4,0,4
251,2,90,127.0372879,181,2,0,2
251,2,100,86.40027447,185,2,0,2
251,2,125,85.15491895,237,2,0,3
251,2,150,82.84532751,293,2,0,4
251,2,200,77.60333277,382,2,0,4
251,2,250,79.84669092,485,2,0,4
251,2,270,74.64960159,539,2,0,4
251,2,300,64.32119695,589,2,0,4
27,3,10,416.6968508,76,7,0,1
27,3,15,523.6057545,62,4,0,1
27,3,20,393.9429572,168,9,0,2
27,3,25,385.3811671,104,4,0,3
27,3,30,317.9678504,118,4,0,4
27,3,35,320.0377861,200,6,0,3
27,3,40,241.3665768,244,6,0,3
27,3,45,314.0573175,262,6,0,2
27,3,50,260.9330516,285,6,0,3
27,3,55,199.6471301,222,4,0,2
27,3,60,234.4365893,314,6,0,3
27,3,70,252.5020999,403,6,0,4
27,3,90,136.1033517,362,4,0,2
27,3,100,203.9904,298,3,0,2
27,3,125,140.9855732,372,3,0,3
27,3,150,148.9587591,394,3,0,4
27,3,200,165.8058117,542,3,0,4
27,3,250,154.3481481,713,3,0,4
27,3,270,125.6013686,784,3,0,4
27,3,300,148.3803521,608,3,0,4
64,3,10,392.1905394,64,6,0,1
64,3,15,513.4038392,91,6,0,1
64,3,20,380.6998959,83,4,0,2
64,3,25,342.7089405,102,4,0,3
64,3,30,253.2457428,163,6,0,4
64,3,35,285.777416,146,4,0,3
64,3,40,248.1823283,134,4,0,3
64,3,45,208.8594751,182,4,0,2
64,3,50,239.0441185,96,2,0,3
64,3,55,208.8464702,151,3,0,2
64,3,60,193.6436534,229,4,0,3
64,3,70,174.2966808,279,4,0,4
64,3,90,191.010216,253,3,0,2
64,3,100,149.1677232,227,3,0,2
64,3,125,168.2734727,349,3,0,3
64,3,150,181.9192243,354,3,0,4
64,3,200,141.5086481,543,3,0,4
64,3,250,99.54517932,748,3,0,4
64,3,270,109.2042659,781,3,0,4
64,3,300,145.803178,793,3,0,4
128,3,10,417.9167276,63,6,0,1
128,3,15,504.8602514,63,4,0,1
128,3,20,354.2536099,71,4,0,2
128,3,30,275.6630263,114,4,0,4
128,3,35,254.8947997,140,4,0,3
128,3,40,262.6119216,133,4,0,3
128,3,45,222.8171494,92,2,0,2
128,3,50,199.3818369,74,2,0,3
128,3,55,179.9401079,216,4,0,2
128,3,60,162.4164861,225,4,0,3
128,3,70,239.4529958,273,4,0,4
128,3,90,144.4271924,360,4,0,2
128,3,100,166.2068597,205,2,0,2
128,3,125,131.925043,488,4,0,3
128,3,150,108.5001675,450,3,0,4
128,3,200,98.43199828,693,4,0,4
128,3,250,86.79453107,489,2,0,4
128,3,270,110.3949631,538,2,0,4
128,3,300,91.14913658,751,3,0,4
251,3,10,382.7435237,59,6,0,1
251,3,15,465.2878037,93,6,0,1
251,3,20,386.9320955,184,9,0,2
